MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO,RETRY_COUNT
518857000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
255915591,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
305648000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
636015775,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622113175,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
511101371,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
319076100,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
620999053,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
671319100,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
314678000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
271050524,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
630001067,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
538003696,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
255976000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
341414000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
259153000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
373526000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
352001957,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
538004748,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
671073100,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
372375000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
671012100,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
538004714,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
477147800,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112839,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112860,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622121071,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112886,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112879,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112880,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
341824001,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622121525,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112887,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622121215,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
372296000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
352001636,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
667001599,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
677028000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
636020467,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
341266002,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
314725000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622000000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
312631000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
374959000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112832,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112864,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
620999532,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112858,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
636013153,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
312089000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
314001024,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
6221128,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112865,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622177204,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112844,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
677064000,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112849,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112852,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
622112831,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
341135002,2025-09-11,12:10:56,El Iskandariya (Alexandria),0
566636000,2025-09-11,12:10:56,Tema,0
311000958,2025-09-11,12:10:56,Tema,0
255805781,2025-09-11,12:10:56,Tema,0
304693000,2025-09-11,12:10:56,Tema,0
538011406,2025-09-11,12:10:56,Tema,0
414430000,2025-09-11,12:10:56,Tema,0
374854000,2025-09-11,12:10:56,Tema,0
538010438,2025-09-11,12:10:56,Tema,0
244180240,2025-09-11,12:10:56,El Dekheila,0
352005499,2025-09-11,12:10:56,El Dekheila,0
255805854,2025-09-11,12:10:56,El Dekheila,0
245618000,2025-09-11,12:10:56,El Dekheila,0
249028000,2025-09-11,12:10:56,El Dekheila,0
622122280,2025-09-11,12:10:56,El Dekheila,0
622122279,2025-09-11,12:10:56,El Dekheila,0
354463000,2025-09-11,12:10:56,El Dekheila,0
314969000,2025-09-11,12:10:56,El Dekheila,0
538008537,2025-09-11,12:10:56,El Dekheila,0
636024333,2025-09-11,12:10:56,El Dekheila,0
372676000,2025-09-11,12:10:56,El Dekheila,0
667001716,2025-09-11,12:10:56,El Dekheila,0
477027400,2025-09-11,12:10:56,El Dekheila,0
636016478,2025-09-11,12:10:56,El Dekheila,0
622112837,2025-09-11,12:10:56,El Dekheila,0
622112833,2025-09-11,12:10:56,El Dekheila,0
622112891,2025-09-11,12:10:56,El Dekheila,0
622112202,2025-09-11,12:10:56,El Dekheila,0
622100625,2025-09-11,12:10:56,Port Said,0
622107476,2025-09-11,12:10:56,Port Said,0
622103676,2025-09-11,12:10:56,Port Said,0
622106050,2025-09-11,12:10:56,Port Said,0
373252000,2025-09-11,12:10:56,Port Said,0
622107226,2025-09-11,12:10:56,Port Said,0
622106550,2025-09-11,12:10:56,Port Said,0
622097325,2025-09-11,12:10:56,Port Said,0
341797000,2025-09-11,12:10:56,Port Said,0
622123265,2025-09-11,12:10:56,Port Said,0
622104850,2025-09-11,12:10:56,Port Said,0
622123257,2025-09-11,12:10:56,Port Said,0
311000683,2025-09-11,12:10:56,Port Said,0
622123255,2025-09-11,12:10:56,Port Said,0
622123252,2025-09-11,12:10:56,Port Said,0
314541000,2025-09-11,12:10:56,Port Said,0
622107054,2025-09-11,12:10:56,Port Said,0
622123242,2025-09-11,12:10:56,Port Said,0
622098850,2025-09-11,12:10:56,Port Said,0
622112005,2025-09-11,12:10:56,Port Said,0
622123202,2025-09-11,12:10:56,Port Said,0
622110382,2025-09-11,12:10:56,Port Said,0
622110357,2025-09-11,12:10:56,Port Said,0
622107228,2025-09-11,12:10:56,Port Said,0
622108775,2025-09-11,12:10:56,Port Said,0
622121517,2025-09-11,12:10:56,Port Said,0
622123264,2025-09-11,12:10:56,Port Said,0
622107229,2025-09-11,12:10:56,Port Said,0
620800041,2025-09-11,12:10:56,Port Said,0
622104975,2025-09-11,12:10:56,Port Said,0
622110353,2025-09-11,12:10:56,Port Said,0
240057900,2025-09-11,12:10:56,Port Said,0
240651100,2025-09-11,12:10:56,Port Said,0
622122203,2025-09-11,12:10:56,Ras Shukhier,0
352003455,2025-09-11,12:10:56,Al Arish,0
667002313,2025-09-11,12:10:56,Al Arish,0
511100626,2025-09-11,12:10:56,Al Arish,0
668116210,2025-09-11,12:10:56,Al Arish,0
354206000,2025-09-11,12:10:56,Al Arish,0
620999090,2025-09-11,12:10:56,Al Arish,0
