MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO,RETRY_COUNT
244347000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
256155000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
636023127,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
271044212,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
511100639,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
354588000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
314900000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
352001874,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622113180,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
341887001,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
271049621,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
352001678,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
636091202,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
538010053,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
229592000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
511101371,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
319076100,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
671319100,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
271050524,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
630001067,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
255976000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
341414000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
373526000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
372375000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
538004714,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112839,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112860,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112886,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112879,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112880,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
341824001,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622121525,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112887,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622121215,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
372296000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
352001636,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
667001599,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
677028000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
636020467,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
341266002,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
314725000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622000000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
312631000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
374959000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112832,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112864,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
620999532,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112858,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
636013153,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112852,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
6221128,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112865,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112831,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112844,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
677064000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622112849,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
312089000,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
341135002,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
622177204,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
314001024,2025-09-13,09:10:52,El Iskandariya (Alexandria),0
412017370,2025-09-13,09:10:52,Tema,0
538009747,2025-09-13,09:10:52,Tema,0
636093314,2025-09-13,09:10:52,Tema,0
352002135,2025-09-13,09:10:52,Tema,0
566636000,2025-09-13,09:10:52,Tema,0
255805781,2025-09-13,09:10:52,Tema,0
374854000,2025-09-13,09:10:52,Tema,0
245618000,2025-09-13,09:10:52,El Dekheila,0
477622700,2025-09-13,09:10:52,El Dekheila,0
271044301,2025-09-13,09:10:52,El Dekheila,0
636015975,2025-09-13,09:10:52,El Dekheila,0
511101034,2025-09-13,09:10:52,El Dekheila,0
352001610,2025-09-13,09:10:52,El Dekheila,0
354396000,2025-09-13,09:10:52,El Dekheila,0
374685000,2025-09-13,09:10:52,El Dekheila,0
636015587,2025-09-13,09:10:52,El Dekheila,0
256105000,2025-09-13,09:10:52,El Dekheila,0
352003819,2025-09-13,09:10:52,El Dekheila,0
352005499,2025-09-13,09:10:52,El Dekheila,0
249028000,2025-09-13,09:10:52,El Dekheila,0
622122280,2025-09-13,09:10:52,El Dekheila,0
622122279,2025-09-13,09:10:52,El Dekheila,0
538008537,2025-09-13,09:10:52,El Dekheila,0
636016478,2025-09-13,09:10:52,El Dekheila,0
622112837,2025-09-13,09:10:52,El Dekheila,0
622112833,2025-09-13,09:10:52,El Dekheila,0
622112891,2025-09-13,09:10:52,El Dekheila,0
622112202,2025-09-13,09:10:52,El Dekheila,0
636023306,2025-09-13,09:10:52,Port Said,0
620800041,2025-09-13,09:10:52,Port Said,0
622102675,2025-09-13,09:10:52,Port Said,0
622097325,2025-09-13,09:10:52,Port Said,0
622107226,2025-09-13,09:10:52,Port Said,0
636024949,2025-09-13,09:10:52,Port Said,0
622104851,2025-09-13,09:10:52,Port Said,0
370106000,2025-09-13,09:10:52,Port Said,0
622100625,2025-09-13,09:10:52,Port Said,0
622106550,2025-09-13,09:10:52,Port Said,0
341797000,2025-09-13,09:10:52,Port Said,0
622123265,2025-09-13,09:10:52,Port Said,0
622104850,2025-09-13,09:10:52,Port Said,0
622123257,2025-09-13,09:10:52,Port Said,0
622123255,2025-09-13,09:10:52,Port Said,0
622123252,2025-09-13,09:10:52,Port Said,0
314541000,2025-09-13,09:10:52,Port Said,0
622098850,2025-09-13,09:10:52,Port Said,0
622112005,2025-09-13,09:10:52,Port Said,0
622123202,2025-09-13,09:10:52,Port Said,0
622110382,2025-09-13,09:10:52,Port Said,0
622110357,2025-09-13,09:10:52,Port Said,0
622107228,2025-09-13,09:10:52,Port Said,0
622108775,2025-09-13,09:10:52,Port Said,0
622121517,2025-09-13,09:10:52,Port Said,0
622123264,2025-09-13,09:10:52,Port Said,0
622110353,2025-09-13,09:10:52,Port Said,0
240057900,2025-09-13,09:10:52,Port Said,0
240651100,2025-09-13,09:10:52,Port Said,0
622104975,2025-09-13,09:10:52,Port Said,0
622108427,2025-09-13,09:10:52,Port Said,0
622122203,2025-09-13,09:10:52,Ras Shukhier,0
538010634,2025-09-13,09:10:52,Al Arish,0
357476000,2025-09-13,09:10:52,Al Arish,0
511101238,2025-09-13,09:10:52,Al Arish,0
671218100,2025-09-13,09:10:52,Al Arish,0
667002313,2025-09-13,09:10:52,Al Arish,0
311000557,2025-09-13,09:10:52,Al Arish,0
341200001,2025-09-13,09:10:52,Al Arish,0
622112003,2025-09-13,09:10:52,Al Arish,0
622112001,2025-09-13,09:10:52,Al Arish,0
352001116,2025-09-13,09:10:52,El-Adabiya,0
341338002,2025-09-13,09:10:52,El-Adabiya,0
636025432,2025-09-13,09:10:52,El-Adabiya,0
667005111,2025-09-13,09:10:52,El-Adabiya,0
477091600,2025-09-13,09:10:52,El-Adabiya,0
668116214,2025-09-13,09:10:52,El-Adabiya,0
630001089,2025-09-13,09:10:52,El-Adabiya,0
622109901,2025-09-13,09:10:52,Abu Qir,0
636023587,2025-09-13,09:10:52,Abu Qir,0
636023662,2025-09-13,09:10:52,Abu Qir,0
636021596,2025-09-13,09:10:52,Abu Qir,0
341896001,2025-09-13,09:10:52,Abu Qir,0
671330100,2025-09-13,09:10:52,Abu Qir,0
374778000,2025-09-13,09:10:52,Abu Qir,0
636023586,2025-09-13,09:10:52,Abu Qir,0
538011525,2025-09-13,09:10:52,Abu Qir,0
622121071,2025-09-13,09:10:52,Abu Qir,0
636017799,2025-09-13,09:10:52,Abu Qir,0
352002379,2025-09-13,09:10:52,Abu Qir,0
235077287,2025-09-13,09:10:52,Abu Qir,0
636022008,2025-09-13,09:10:52,Abu Qir,0
312220000,2025-09-13,09:10:52,Abu Qir,0
622121526,2025-09-13,09:10:52,Abu Qir,0
511100629,2025-09-13,09:10:52,Abu Qir,0
622120120,2025-09-13,09:10:52,Abu Qir,0
240272500,2025-09-13,09:10:52,Abu Qir,0
620679000,2025-09-13,09:10:52,Abu Qir,0
352004331,2025-09-13,09:10:52,Abu Qir,0
622110348,2025-09-13,09:10:52,Abu Qir,0
622123247,2025-09-13,09:10:52,El Ismailiya,0
622123248,2025-09-13,09:10:52,El Ismailiya,0
622123256,2025-09-13,09:10:52,El Ismailiya,0
