MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO,RETRY_COUNT
256649000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622113177,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
450555000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
314541000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
538008454,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
341877001,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
369222000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
671443100,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
538008485,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
677010600,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
232041694,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
257127140,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
354588000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
352001874,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
341887001,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
271049621,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
352001678,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
636091202,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
511101371,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
319076100,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
630001067,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
341414000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
373526000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112839,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112860,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112886,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112879,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112880,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
341824001,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622121525,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112887,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
372296000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
352001636,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
667001599,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
677028000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
636020467,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
341266002,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
314725000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622000000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
312631000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
374959000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112832,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112864,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
620999532,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112858,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
636013153,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
312089000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
314001024,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
6221128,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112852,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112841,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112865,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622177204,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
341135002,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
677064000,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112849,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
622112831,2025-09-15,01:11:09,El Iskandariya (Alexandria),0
477162800,2025-09-15,01:11:09,Tema,0
538009747,2025-09-15,01:11:09,Tema,0
636093314,2025-09-15,01:11:09,Tema,0
352002135,2025-09-15,01:11:09,Tema,0
566636000,2025-09-15,01:11:09,Tema,0
255805781,2025-09-15,01:11:09,Tema,0
374854000,2025-09-15,01:11:09,Tema,0
636021506,2025-09-15,01:11:09,El Dekheila,0
245618000,2025-09-15,01:11:09,El Dekheila,0
538003696,2025-09-15,01:11:09,El Dekheila,0
352003548,2025-09-15,01:11:09,El Dekheila,0
255805869,2025-09-15,01:11:09,El Dekheila,0
538007240,2025-09-15,01:11:09,El Dekheila,0
477622700,2025-09-15,01:11:09,El Dekheila,0
511101034,2025-09-15,01:11:09,El Dekheila,0
352001610,2025-09-15,01:11:09,El Dekheila,0
354396000,2025-09-15,01:11:09,El Dekheila,0
374685000,2025-09-15,01:11:09,El Dekheila,0
636015587,2025-09-15,01:11:09,El Dekheila,0
352003819,2025-09-15,01:11:09,El Dekheila,0
622122280,2025-09-15,01:11:09,El Dekheila,0
622122279,2025-09-15,01:11:09,El Dekheila,0
636016478,2025-09-15,01:11:09,El Dekheila,0
622112837,2025-09-15,01:11:09,El Dekheila,0
622112833,2025-09-15,01:11:09,El Dekheila,0
622112891,2025-09-15,01:11:09,El Dekheila,0
622112202,2025-09-15,01:11:09,El Dekheila,0
249732000,2025-09-15,01:11:09,Port Said,0
622107226,2025-09-15,01:11:09,Port Said,0
622106050,2025-09-15,01:11:09,Port Said,0
622123220,2025-09-15,01:11:09,Port Said,0
341248002,2025-09-15,01:11:09,Port Said,0
622123265,2025-09-15,01:11:09,Port Said,0
622107051,2025-09-15,01:11:09,Port Said,0
622107227,2025-09-15,01:11:09,Port Said,0
622123242,2025-09-15,01:11:09,Port Said,0
636023306,2025-09-15,01:11:09,Port Said,0
620800041,2025-09-15,01:11:09,Port Said,0
622097325,2025-09-15,01:11:09,Port Said,0
370106000,2025-09-15,01:11:09,Port Said,0
622100625,2025-09-15,01:11:09,Port Said,0
622106550,2025-09-15,01:11:09,Port Said,0
622123257,2025-09-15,01:11:09,Port Said,0
622123252,2025-09-15,01:11:09,Port Said,0
622098850,2025-09-15,01:11:09,Port Said,0
622112005,2025-09-15,01:11:09,Port Said,0
622123202,2025-09-15,01:11:09,Port Said,0
622110382,2025-09-15,01:11:09,Port Said,0
622110357,2025-09-15,01:11:09,Port Said,0
622107228,2025-09-15,01:11:09,Port Said,0
622108775,2025-09-15,01:11:09,Port Said,0
622121517,2025-09-15,01:11:09,Port Said,0
622123264,2025-09-15,01:11:09,Port Said,0
240057900,2025-09-15,01:11:09,Port Said,0
622104975,2025-09-15,01:11:09,Port Said,0
240651100,2025-09-15,01:11:09,Port Said,0
622122203,2025-09-15,01:11:09,Ras Shukhier,0
377263000,2025-09-15,01:11:09,Al Arish,0
671310000,2025-09-15,01:11:09,Al Arish,0
341200001,2025-09-15,01:11:09,Al Arish,0
667002178,2025-09-15,01:11:09,Al Arish,0
353157000,2025-09-15,01:11:09,Al Arish,0
255865000,2025-09-15,01:11:09,Al Arish,0
538010634,2025-09-15,01:11:09,Al Arish,0
622112003,2025-09-15,01:11:09,Al Arish,0
622112001,2025-09-15,01:11:09,Al Arish,0
538005057,2025-09-15,01:11:09,El-Adabiya,0
372868000,2025-09-15,01:11:09,El-Adabiya,0
477156300,2025-09-15,01:11:09,El-Adabiya,0
511101774,2025-09-15,01:11:09,El-Adabiya,0
511100265,2025-09-15,01:11:09,El-Adabiya,0
341338002,2025-09-15,01:11:09,El-Adabiya,0
667005111,2025-09-15,01:11:09,El-Adabiya,0
630001089,2025-09-15,01:11:09,El-Adabiya,0
622109401,2025-09-15,01:11:09,Abu Qir,0
636023587,2025-09-15,01:11:09,Abu Qir,0
636023586,2025-09-15,01:11:09,Abu Qir,0
246203000,2025-09-15,01:11:09,Abu Qir,0
622109901,2025-09-15,01:11:09,Abu Qir,0
636023662,2025-09-15,01:11:09,Abu Qir,0
636024272,2025-09-15,01:11:09,Abu Qir,0
511100939,2025-09-15,01:11:09,Abu Qir,0
622121071,2025-09-15,01:11:09,Abu Qir,0
341896001,2025-09-15,01:11:09,Abu Qir,0
671330100,2025-09-15,01:11:09,Abu Qir,0
374778000,2025-09-15,01:11:09,Abu Qir,0
636017799,2025-09-15,01:11:09,Abu Qir,0
352002379,2025-09-15,01:11:09,Abu Qir,0
235077287,2025-09-15,01:11:09,Abu Qir,0
636022008,2025-09-15,01:11:09,Abu Qir,0
312220000,2025-09-15,01:11:09,Abu Qir,0
622121526,2025-09-15,01:11:09,Abu Qir,0
511100629,2025-09-15,01:11:09,Abu Qir,0
622120120,2025-09-15,01:11:09,Abu Qir,0
620679000,2025-09-15,01:11:09,Abu Qir,0
352004331,2025-09-15,01:11:09,Abu Qir,0
622123247,2025-09-15,01:11:09,El Ismailiya,0
622123248,2025-09-15,01:11:09,El Ismailiya,0
622123246,2025-09-15,01:11:09,El Ismailiya,0
622123256,2025-09-15,01:11:09,El Ismailiya,0
622123201,2025-09-15,01:11:09,El Ismailiya,0
622123249,2025-09-15,01:11:09,El Ismailiya,0
622123208,2025-09-15,01:11:09,El Ismailiya,0
622123244,2025-09-15,01:11:09,El Ismailiya,0
622154666,2025-09-15,01:11:09,El Ismailiya,0
477129300,2025-09-15,01:11:09,Dumyat (Damietta),0
636016709,2025-09-15,01:11:09,Dumyat (Damietta),0
636022726,2025-09-15,01:11:09,Dumyat (Damietta),0
671662000,2025-09-15,01:11:09,Dumyat (Damietta),0
518100770,2025-09-15,01:11:09,Dumyat (Damietta),0
630001177,2025-09-15,01:11:09,Dumyat (Damietta),0
511100715,2025-09-15,01:11:09,Dumyat (Damietta),0
477095300,2025-09-15,01:11:09,Dumyat (Damietta),0
636019711,2025-09-15,01:11:09,Dumyat (Damietta),0
538010875,2025-09-15,01:11:09,Dumyat (Damietta),0
370306000,2025-09-15,01:11:09,Dumyat (Damietta),0
450622000,2025-09-15,01:11:09,Dumyat (Damietta),0
229697000,2025-09-15,01:11:09,Dumyat (Damietta),0
351335000,2025-09-15,01:11:09,Dumyat (Damietta),0
511100341,2025-09-15,01:11:09,Dumyat (Damietta),0
341630000,2025-09-15,01:11:09,Dumyat (Damietta),0
563094500,2025-09-15,01:11:09,Dumyat (Damietta),0
