MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO,RETRY_COUNT
247206000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
319076100,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
353539000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
256619000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
248247000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
620999053,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
671319100,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
314678000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
271050524,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
630001067,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
538003696,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
255976000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
341414000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
259153000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
373526000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
352001957,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
538004748,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
246360000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
671073100,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
372375000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
671012100,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
538004714,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
477147800,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
373923000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112839,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112860,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622121071,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112886,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112879,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112880,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
341824001,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622121525,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112887,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622139002,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622121215,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
372296000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
352001636,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
667001599,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
677028000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
636020467,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
341266002,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
314725000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622000000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
312631000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
374959000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112832,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112864,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
620999532,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112858,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
636013153,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
6221128,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
352002034,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622177204,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
312089000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112865,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112844,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
677064000,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112849,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112852,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
622112831,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
341135002,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
550071148,2025-09-10,21:10:56,El Iskandariya (Alexandria),0
372997000,2025-09-10,21:10:56,Tema,0
215419000,2025-09-10,21:10:56,Tema,0
304693000,2025-09-10,21:10:56,Tema,0
538011406,2025-09-10,21:10:56,Tema,0
414430000,2025-09-10,21:10:56,Tema,0
374854000,2025-09-10,21:10:56,Tema,0
538010438,2025-09-10,21:10:56,Tema,0
