MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO,RETRY_COUNT
247206000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
319076100,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
353539000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
256619000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
248247000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
620999053,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
671319100,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
314678000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
271050524,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
630001067,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
538003696,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
255976000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
341414000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
259153000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
373526000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
352001957,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
538004748,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
246360000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
671073100,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
372375000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
671012100,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
538004714,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
477147800,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
373923000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622112839,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622112860,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622121071,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622112886,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622112879,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622112880,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
341824001,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622121525,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622112887,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622139002,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622121215,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
372296000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
352001636,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
667001599,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
677028000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
636020467,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
341266002,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
314725000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622000000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
312631000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
374959000,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622112832,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622112864,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
620999532,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
622112858,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
636013153,2025-09-10,16:45:26,El Iskandariya (Alexandria),0
