MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO
341742000,2025-09-09,12:11:14,Al Arish
312321000,2025-09-09,12:11:14,Al Arish
311000557,2025-09-09,12:11:14,Al Arish
341200001,2025-09-09,12:11:14,Al Arish
622112003,2025-09-09,12:11:14,Al Arish
622112001,2025-09-09,12:11:14,Al Arish
636022981,2025-09-09,12:11:14,El-Adabiya
477091600,2025-09-09,12:11:14,El-Adabiya
511100176,2025-09-09,12:11:14,El-Adabiya
636023197,2025-09-09,12:11:14,El-Adabiya
668116214,2025-09-09,12:11:14,El-Adabiya
405000293,2025-09-09,12:11:14,El-Adabiya
630001089,2025-09-09,12:11:14,El-Adabiya
533875000,2025-09-09,12:11:14,El-Adabiya
636023662,2025-09-09,12:11:14,Abu Qir
357926000,2025-09-09,12:11:14,Abu Qir
636015975,2025-09-09,12:11:14,Abu Qir
352002379,2025-09-09,12:11:14,Abu Qir
235077287,2025-09-09,12:11:14,Abu Qir
636022008,2025-09-09,12:11:14,Abu Qir
312220000,2025-09-09,12:11:14,Abu Qir
636023587,2025-09-09,12:11:14,Abu Qir
636023586,2025-09-09,12:11:14,Abu Qir
622121526,2025-09-09,12:11:14,Abu Qir
622121527,2025-09-09,12:11:14,Abu Qir
511100629,2025-09-09,12:11:14,Abu Qir
622120120,2025-09-09,12:11:14,Abu Qir
240272500,2025-09-09,12:11:14,Abu Qir
620679000,2025-09-09,12:11:14,Abu Qir
352004331,2025-09-09,12:11:14,Abu Qir
622110348,2025-09-09,12:11:14,Abu Qir
341343002,2025-09-09,12:11:14,Abu Qir
312514000,2025-09-09,12:11:14,El Ismailiya
622123256,2025-09-09,12:11:14,El Ismailiya
622123201,2025-09-09,12:11:14,El Ismailiya
622123249,2025-09-09,12:11:14,El Ismailiya
622123244,2025-09-09,12:11:14,El Ismailiya
622123208,2025-09-09,12:11:14,El Ismailiya
622154666,2025-09-09,12:11:14,El Ismailiya
563094500,2025-09-09,12:11:14,Dumyat (Damietta)
671108100,2025-09-09,12:11:14,Dumyat (Damietta)
622113177,2025-09-09,12:11:14,Dumyat (Damietta)
319084600,2025-09-09,12:11:14,Dumyat (Damietta)
622122225,2025-09-09,12:11:14,Dumyat (Damietta)
636019898,2025-09-09,12:11:14,Dumyat (Damietta)
249189000,2025-09-09,12:11:14,Dumyat (Damietta)
341267001,2025-09-09,12:11:14,Dumyat (Damietta)
636023250,2025-09-09,12:11:14,Dumyat (Damietta)
255806521,2025-09-09,12:11:14,Dumyat (Damietta)
312119000,2025-09-09,12:11:14,Dumyat (Damietta)
373474000,2025-09-09,12:11:14,Dumyat (Damietta)
511100209,2025-09-09,12:11:14,Dumyat (Damietta)
630001001,2025-09-09,12:11:14,Dumyat (Damietta)
334019000,2025-09-09,12:11:14,Dumyat (Damietta)
511986000,2025-09-09,12:11:14,Dumyat (Damietta)
671043100,2025-09-09,12:11:14,Dumyat (Damietta)
636022137,2025-09-09,12:11:14,Dumyat (Damietta)
538011655,2025-09-09,12:11:14,Dumyat (Damietta)
538005874,2025-09-09,12:11:14,Dumyat (Damietta)
636023122,2025-09-09,12:11:14,Dumyat (Damietta)
352002172,2025-09-09,12:11:14,Dumyat (Damietta)
352005824,2025-09-09,12:11:14,Dumyat (Damietta)
354327000,2025-09-09,12:11:14,Dumyat (Damietta)
622177217,2025-09-09,12:11:14,Dumyat (Damietta)
622177219,2025-09-09,12:11:14,Dumyat (Damietta)
622177216,2025-09-09,12:11:14,Dumyat (Damietta)
622177218,2025-09-09,12:11:14,Dumyat (Damietta)
622177205,2025-09-09,12:11:14,Dumyat (Damietta)
622177206,2025-09-09,12:11:14,Dumyat (Damietta)
622177207,2025-09-09,12:11:14,Dumyat (Damietta)
622177202,2025-09-09,12:11:14,Dumyat (Damietta)
622177208,2025-09-09,12:11:14,Dumyat (Damietta)
403520001,2025-09-09,12:11:14,Sokhna Port
403532001,2025-09-09,12:11:14,Sokhna Port
636022490,2025-09-09,12:11:14,Sokhna Port
356680000,2025-09-09,12:11:14,Sokhna Port
538004640,2025-09-09,12:11:14,Sokhna Port
354733000,2025-09-09,12:11:14,Sokhna Port
511100266,2025-09-09,12:11:14,Sokhna Port
477312900,2025-09-09,12:11:14,Sokhna Port
622110690,2025-09-09,12:11:14,Sokhna Port
477007300,2025-09-09,12:11:14,Sokhna Port
622135001,2025-09-09,12:11:14,Safaja
209776000,2025-09-09,12:11:14,Safaja
622135002,2025-09-09,12:11:14,Safaja
215063000,2025-09-09,12:11:14,Bizerte
314490000,2025-09-09,12:11:14,Bizerte
319893000,2025-09-09,12:11:14,Bizerte
305842000,2025-09-09,12:11:14,Bizerte
255916290,2025-09-09,12:11:14,Bizerte
304366000,2025-09-09,12:11:14,Bizerte
672267000,2025-09-09,12:11:14,Bizerte
232048653,2025-09-09,12:11:14,Bizerte
232050688,2025-09-09,12:11:14,Bizerte
6725030,2025-09-09,12:11:14,Bizerte
672707000,2025-09-09,12:11:14,Sousse
271044578,2025-09-09,12:11:14,Sousse
630001017,2025-09-09,12:11:14,Sousse
305433000,2025-09-09,12:11:14,Sousse
374761000,2025-09-09,12:11:14,Gabes
636016176,2025-09-09,12:11:14,Gabes
672525000,2025-09-09,12:11:14,Mahdia
672508000,2025-09-09,12:11:14,Mahdia
271000623,2025-09-09,12:11:14,Tunis
226242000,2025-09-09,12:11:14,Tunis
212184000,2025-09-09,12:11:14,Tunis
255806056,2025-09-09,12:11:14,Tunis
219034351,2025-09-09,12:11:14,Tunis
672269000,2025-09-09,12:11:14,Tunis
255806235,2025-09-09,12:11:14,Tunis
354602000,2025-09-09,12:11:14,Tunis
255806310,2025-09-09,12:11:14,Tunis
248153000,2025-09-09,12:11:14,Tunis
538007572,2025-09-09,12:11:14,Tunis
672263000,2025-09-09,12:11:14,Tunis
672262000,2025-09-09,12:11:14,Tunis
672247000,2025-09-09,12:11:14,Tunis
672718000,2025-09-09,12:11:14,Tunis
371251000,2025-09-09,12:11:14,Menzel Bourguiba
672248000,2025-09-09,12:11:14,Menzel Bourguiba
538007327,2025-09-09,12:11:14,Menzel Bourguiba
538007326,2025-09-09,12:11:14,Menzel Bourguiba
312086000,2025-09-09,12:11:14,Sfax
352002790,2025-09-09,12:11:14,Sfax
255805883,2025-09-09,12:11:14,Sfax
341788001,2025-09-09,12:11:14,Sfax
212008000,2025-09-09,12:11:14,Sfax
636020435,2025-09-09,12:11:14,Sfax
275304000,2025-09-09,12:11:14,Bejaia
352003781,2025-09-09,12:11:14,Bejaia
605116705,2025-09-09,12:11:14,Bejaia
636019562,2025-09-09,12:11:14,Bejaia
245297000,2025-09-09,12:11:14,Bejaia
241505000,2025-09-09,12:11:14,Bejaia
605016463,2025-09-09,12:11:14,Bejaia
636020695,2025-09-09,12:11:14,Bejaia
215536000,2025-09-09,12:11:14,Bejaia
375323000,2025-09-09,12:11:14,Bejaia
538005292,2025-09-09,12:11:14,Bejaia
548652000,2025-09-09,12:11:14,Bejaia
605116704,2025-09-09,12:11:14,Djen-Djen
605116706,2025-09-09,12:11:14,Djen-Djen
314743000,2025-09-09,12:11:14,Djen-Djen
636024130,2025-09-09,12:11:14,Djen-Djen
268237502,2025-09-09,12:11:14,Djen-Djen
314148000,2025-09-09,12:11:14,Djen-Djen
636020223,2025-09-09,12:11:14,Djen-Djen
538004676,2025-09-09,12:11:14,Djen-Djen
605146417,2025-09-09,12:11:14,Skikda
209963000,2025-09-09,12:11:14,Skikda
605116230,2025-09-09,12:11:14,Skikda
605106411,2025-09-09,12:11:14,Skikda
605146418,2025-09-09,12:11:14,Skikda
605106415,2025-09-09,12:11:14,Skikda
605106435,2025-09-09,12:11:14,Skikda
215070000,2025-09-09,12:11:14,Skikda
538006077,2025-09-09,12:11:14,Skikda
636024683,2025-09-09,12:11:14,Skikda
605116707,2025-09-09,12:11:14,Skikda
636014078,2025-09-09,12:11:14,Skikda
352002479,2025-09-09,12:11:14,Skikda
255915621,2025-09-09,12:11:14,Skikda
405000420,2025-09-09,12:11:14,Mostaganem
237628000,2025-09-09,12:11:14,Alger (Algiers)
605016420,2025-09-09,12:11:14,Alger (Algiers)
376097000,2025-09-09,12:11:14,Alger (Algiers)
212267000,2025-09-09,12:11:14,Alger (Algiers)
356792000,2025-09-09,12:11:14,Alger (Algiers)
605116730,2025-09-09,12:11:14,Alger (Algiers)
249157000,2025-09-09,12:11:14,Alger (Algiers)
577138000,2025-09-09,12:11:14,Alger (Algiers)
253592000,2025-09-09,12:11:14,Alger (Algiers)
304979000,2025-09-09,12:11:14,Alger (Algiers)
271051458,2025-09-09,12:11:14,Alger (Algiers)
605116750,2025-09-09,12:11:14,Alger (Algiers)
215910000,2025-09-09,12:11:14,Alger (Algiers)
605176080,2025-09-09,12:11:14,Alger (Algiers)
341878001,2025-09-09,12:11:14,Alger (Algiers)
677055100,2025-09-09,12:11:14,Alger (Algiers)
314918000,2025-09-09,12:11:14,Alger (Algiers)
255805966,2025-09-09,12:11:14,Alger (Algiers)
605086015,2025-09-09,12:11:14,Alger (Algiers)
636024753,2025-09-09,12:11:14,Alger (Algiers)
636021484,2025-09-09,12:11:14,Alger (Algiers)
605106414,2025-09-09,12:11:14,Alger (Algiers)
605086060,2025-09-09,12:11:14,Alger (Algiers)
636023314,2025-09-09,12:11:14,Alger (Algiers)
268240002,2025-09-09,12:11:14,Alger (Algiers)
605016450,2025-09-09,12:11:14,Alger (Algiers)
605086016,2025-09-09,12:11:14,Alger (Algiers)
605066012,2025-09-09,12:11:14,Alger (Algiers)
605086010,2025-09-09,12:11:14,Alger (Algiers)
605026425,2025-09-09,12:11:14,Alger (Algiers)
605136720,2025-09-09,12:11:14,Alger (Algiers)
605056210,2025-09-09,12:11:14,Alger (Algiers)
642112004,2025-09-09,12:11:14,Alger (Algiers)
605266130,2025-09-09,12:11:14,Alger (Algiers)
352005420,2025-09-09,12:11:14,Alger (Algiers)
577522000,2025-09-09,12:11:14,Tenes
255806135,2025-09-09,12:11:14,Tenes
312115000,2025-09-09,12:11:14,Annaba
605136711,2025-09-09,12:11:14,Annaba
271044302,2025-09-09,12:11:14,Annaba
271051982,2025-09-09,12:11:14,Annaba
414009000,2025-09-09,12:11:14,Annaba
563155800,2025-09-09,12:11:14,Annaba
605136712,2025-09-09,12:11:14,Annaba
636018053,2025-09-09,12:11:14,Annaba
564731000,2025-09-09,12:11:14,Annaba
341093001,2025-09-09,12:11:14,Annaba
412554710,2025-09-09,12:11:14,Annaba
413223060,2025-09-09,12:11:14,Annaba
605106452,2025-09-09,12:11:14,Annaba
352921000,2025-09-09,12:11:14,Ghazaouet
352001774,2025-09-09,12:11:14,Ghazaouet
370417000,2025-09-09,12:11:14,Oran
563143700,2025-09-09,12:11:14,Oran
605116740,2025-09-09,12:11:14,Oran
352003770,2025-09-09,12:11:14,Oran
636014926,2025-09-09,12:11:14,Oran
538011126,2025-09-09,12:11:14,Oran
605106432,2025-09-09,12:11:14,Oran
314647000,2025-09-09,12:11:14,Oran
209613000,2025-09-09,12:11:14,Oran
277562000,2025-09-09,12:11:14,Oran
538010518,2025-09-09,12:11:14,Oran
667002297,2025-09-09,12:11:14,Oran
636014524,2025-09-09,12:11:14,Oran
564881000,2025-09-09,12:11:14,Oran
605076261,2025-09-09,12:11:14,Oran
605000000,2025-09-09,12:11:14,Oran
605086011,2025-09-09,12:11:14,Oran
605126910,2025-09-09,12:11:14,Oran
258933000,2025-09-09,12:11:14,Arzew
677019800,2025-09-09,12:11:14,Arzew
636015940,2025-09-09,12:11:14,Arzew
636013947,2025-09-09,12:11:14,Arzew
563043900,2025-09-09,12:11:14,Arzew
255805874,2025-09-09,12:11:14,Arzew
636013848,2025-09-09,12:11:14,Arzew
605106423,2025-09-09,12:11:14,Arzew
255806435,2025-09-09,12:11:14,Arzew
311058600,2025-09-09,12:11:14,Arzew
375778000,2025-09-09,12:11:14,Arzew
538004901,2025-09-09,12:11:14,Arzew
605266428,2025-09-09,12:11:14,Arzew
412043240,2025-09-09,12:11:14,Arzew
242163100,2025-09-09,12:11:14,Mohammedia
242125100,2025-09-09,12:11:14,Mohammedia
242092000,2025-09-09,12:11:14,Mohammedia
242091000,2025-09-09,12:11:14,Mohammedia
2424145,2025-09-09,12:11:14,Mohammedia
992425400,2025-09-09,12:11:14,Mohammedia
992422400,2025-09-09,12:11:14,Mohammedia
992426400,2025-09-09,12:11:14,Mohammedia
992424400,2025-09-09,12:11:14,Mohammedia
992427400,2025-09-09,12:11:14,Mohammedia
992429400,2025-09-09,12:11:14,Mohammedia
242999999,2025-09-09,12:11:14,El Jadida
242294400,2025-09-09,12:11:14,El Jorf Lasfar
538007192,2025-09-09,12:11:14,El Jorf Lasfar
636022087,2025-09-09,12:11:14,El Jorf Lasfar
538008688,2025-09-09,12:11:14,El Jorf Lasfar
205713000,2025-09-09,12:11:14,El Jorf Lasfar
374742000,2025-09-09,12:11:14,El Jorf Lasfar
374129000,2025-09-09,12:11:14,El Jorf Lasfar
538003905,2025-09-09,12:11:14,El Jorf Lasfar
636019703,2025-09-09,12:11:14,El Jorf Lasfar
567274000,2025-09-09,12:11:14,El Jorf Lasfar
636025354,2025-09-09,12:11:14,El Jorf Lasfar
636017830,2025-09-09,12:11:14,El Jorf Lasfar
566817000,2025-09-09,12:11:14,El Jorf Lasfar
242501400,2025-09-09,12:11:14,El Jorf Lasfar
2422101,2025-09-09,12:11:14,El Jorf Lasfar
242126100,2025-09-09,12:11:14,El Jorf Lasfar
255915810,2025-09-09,12:11:14,El Jorf Lasfar
242500400,2025-09-09,12:11:14,El Jorf Lasfar
242377400,2025-09-09,12:11:14,Casablanca
538007385,2025-09-09,12:11:14,Casablanca
538007384,2025-09-09,12:11:14,Casablanca
304713000,2025-09-09,12:11:14,Casablanca
255806016,2025-09-09,12:11:14,Casablanca
244615184,2025-09-09,12:11:14,Casablanca
373454000,2025-09-09,12:11:14,Casablanca
563024600,2025-09-09,12:11:14,Casablanca
636020662,2025-09-09,12:11:14,Casablanca
352001535,2025-09-09,12:11:14,Casablanca
215426000,2025-09-09,12:11:14,Casablanca
636024210,2025-09-09,12:11:14,Casablanca
242198100,2025-09-09,12:11:14,Casablanca
304462000,2025-09-09,12:11:14,Casablanca
371936000,2025-09-09,12:11:14,Casablanca
212390000,2025-09-09,12:11:14,Casablanca
255804480,2025-09-09,12:11:14,Casablanca
253595000,2025-09-09,12:11:14,Casablanca
450421000,2025-09-09,12:11:14,Casablanca
242414400,2025-09-09,12:11:14,Casablanca
636016288,2025-09-09,12:11:14,Casablanca
341145001,2025-09-09,12:11:14,Casablanca
354760000,2025-09-09,12:11:14,Casablanca
242416400,2025-09-09,12:11:14,Casablanca
242177100,2025-09-09,12:11:14,Casablanca
245383000,2025-09-09,12:11:14,Casablanca
376937000,2025-09-09,12:11:14,Casablanca
242133100,2025-09-09,12:11:14,Casablanca
242152100,2025-09-09,12:11:14,Casablanca
242000321,2025-09-09,12:11:14,Casablanca
242134100,2025-09-09,12:11:14,Casablanca
242000201,2025-09-09,12:11:14,Casablanca
242583000,2025-09-09,12:11:14,Casablanca
2420000,2025-09-09,12:11:14,Casablanca
620999546,2025-09-09,12:11:14,Casablanca
242575000,2025-09-09,12:11:14,Casablanca
