MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO
255990000,2025-09-02,22:11:50,Nador
224675000,2025-09-02,22:11:50,Nador
242418400,2025-09-02,22:11:50,Tanger Med
209649000,2025-09-02,22:11:50,Tanger Med
353468000,2025-09-02,22:11:50,Tanger Med
209678000,2025-09-02,22:11:50,Tanger Med
224692000,2025-09-02,22:11:50,Tanger Med
242402400,2025-09-02,22:11:50,Tanger Med 
242386400,2025-09-02,22:11:50,Tanger Med 
242562300,2025-09-02,22:11:50,Tanger Med 
242905000,2025-09-02,22:11:50,Tanger Med 
242354400,2025-09-02,22:11:50,Tanger Med 
565186000,2025-09-02,22:11:50,Tanger Med 
256449000,2025-09-02,22:11:50,Tanger Med 
215413000,2025-09-02,22:11:50,Tanger Med 
242903000,2025-09-02,22:11:50,Tanger Med 
242533400,2025-09-02,22:11:50,Tanger Med 
357260000,2025-09-02,22:11:50,Abidjan
636014200,2025-09-02,22:11:50,Abidjan
305394000,2025-09-02,22:11:50,Abidjan
636020592,2025-09-02,22:11:50,Abidjan
352004869,2025-09-02,22:11:50,Abidjan
353289000,2025-09-02,22:11:50,Abidjan
636013001,2025-09-02,22:11:50,Abidjan
636014240,2025-09-02,22:11:50,Abidjan
636013644,2025-09-02,22:11:50,San-Pedro
352001654,2025-09-02,22:11:50,Pointe Noire
538009436,2025-09-02,22:11:50,Beira
636016457,2025-09-02,22:11:50,Beira
636093114,2025-09-02,22:11:50,Maputo
636023494,2025-09-02,22:11:50,Maputo
636017897,2025-09-02,22:11:50,Maputo
419001672,2025-09-02,22:11:50,Nacala
314501000,2025-09-02,22:11:50,Mombasa
477906900,2025-09-02,22:11:50,Mombasa
405000340,2025-09-02,22:11:50,Mombasa
477696200,2025-09-02,22:11:50,Mombasa
636020610,2025-09-02,22:11:50,Mombasa
370320000,2025-09-02,22:11:50,Mombasa
636018629,2025-09-02,22:11:50,Mombasa
413247480,2025-09-02,22:11:50,Mombasa
563191300,2025-09-02,22:11:50,Mombasa
352002681,2025-09-02,22:11:50,Mombasa
314736000,2025-09-02,22:11:50,Lobito
245955000,2025-09-02,22:11:50,Luanda
357705000,2025-09-02,22:11:50,Luanda
563130100,2025-09-02,22:11:50,Luanda
636016852,2025-09-02,22:11:50,Luanda
352003590,2025-09-02,22:11:50,Takoradi
538011406,2025-09-02,22:11:50,Takoradi
352002135,2025-09-02,22:11:50,Takoradi
477043400,2025-09-02,22:11:50,Tema
311000621,2025-09-02,22:11:50,Tema
374854000,2025-09-02,22:11:50,Tema
636013068,2025-09-02,22:11:50,Tema
538006829,2025-09-02,22:11:50,Tema
636022611,2025-09-02,22:11:50,Tema
525038992,2025-09-02,22:11:50,Nouadhibou
271073340,2025-09-02,22:11:50,Nouadhibou
325128700,2025-09-02,22:11:50,Nouadhibou
271069004,2025-09-02,22:11:50,Nouadhibou
271073392,2025-09-02,22:11:50,Nouadhibou
375865000,2025-09-02,22:11:50,Nouadhibou
376487000,2025-09-02,22:11:50,Nouadhibou
654045600,2025-09-02,22:11:50,Nouadhibou
271062115,2025-09-02,22:11:50,Nouadhibou
412371233,2025-09-02,22:11:50,Nouadhibou
566353000,2025-09-02,22:11:50,Nouakchott
477898500,2025-09-02,22:11:50,Nouakchott
314800000,2025-09-02,22:11:50,Nouakchott
654099000,2025-09-02,22:11:50,Nouakchott
229115000,2025-09-02,22:11:50,Nouakchott
636025278,2025-09-02,22:11:50,Nouakchott
255805969,2025-09-02,22:11:50,Nouakchott
636020259,2025-09-02,22:11:50,Nouakchott
538003719,2025-09-02,22:11:50,Dar es Salaam
677073300,2025-09-02,22:11:50,Dar es Salaam
677091000,2025-09-02,22:11:50,Dar es Salaam
563272900,2025-09-02,22:11:50,Dar es Salaam
677037500,2025-09-02,22:11:50,Dar es Salaam
636022215,2025-09-02,22:11:50,Dar es Salaam
229750000,2025-09-02,22:11:50,Dar es Salaam
677050900,2025-09-02,22:11:50,Dar es Salaam
477959400,2025-09-02,22:11:50,Dar es Salaam
257548000,2025-09-02,22:11:50,Dar es Salaam
663343000,2025-09-02,22:11:50,Dakar
663136000,2025-09-02,22:11:50,Dakar
663000001,2025-09-02,22:11:50,Dakar
225987981,2025-09-02,22:11:50,Dakar
373534000,2025-09-02,22:11:50,Dakar
663285000,2025-09-02,22:11:50,Dakar
663226000,2025-09-02,22:11:50,Dakar
376493000,2025-09-02,22:11:50,Dakar
412331027,2025-09-02,22:11:50,Dakar
663223000,2025-09-02,22:11:50,Dakar
